t,o,h,l,c
2026-01-15 19:00:00+00:00,938704.8814,948338.027999999,938503.7302000006,948338.027999999
2026-01-15 20:00:00+00:00,948340.0418,949176.3125999998,940317.8505999999,948008.0649999989
2026-01-15 21:00:00+00:00,948008.0649999989,948327.6209999998,942931.4335999998,945827.0517999995
2026-01-15 22:00:00+00:00,945825.8933999996,947500.6992,945667.2876,947468.5487999995
2026-01-15 23:00:00+00:00,947465.5556,947943.7166,947081.8365999998,947812.6353999996
2026-01-16 00:00:00+00:00,947812.6140000001,949214.9480000004,947696.6146,948640.7273999996
2026-01-16 01:00:00+00:00,948641.2114,948681.6508000001,945684.5021999998,946538.2263999993
2026-01-16 02:00:00+00:00,946538.2263999993,946542.0388,940973.6965999999,942412.0441999997
2026-01-16 03:00:00+00:00,942408.9249999999,942460.2169999998,941611.2905999996,942044.9656000001
2026-01-16 04:00:00+00:00,942079.3274000001,944199.7857999997,941173.5162000002,943128.5821999992
2026-01-16 05:00:00+00:00,943128.8069999999,945120.3313999996,943005.7903999999,945120.3313999996
2026-01-16 06:00:00+00:00,945076.8368,950946.1457999999,945014.8041999998,950282.6119999983
2026-01-16 07:00:00+00:00,950282.6468,950341.6133999997,948915.2369999997,949336.1511999993
2026-01-16 08:00:00+00:00,949334.497,949876.7835999996,948366.7857999996,948372.9189999995
2026-01-16 09:00:00+00:00,948373.9748,948753.6948000008,947622.9608,948734.4986000007
2026-01-16 10:00:00+00:00,948734.2602,951094.2390000001,948622.5316,951042.5352000002
2026-01-16 11:00:00+00:00,951038.7882000001,952859.3007999999,950940.8650000003,952859.3007999999
2026-01-16 12:00:00+00:00,952859.3007999999,953922.3992,952856.4158000001,953863.9042000002
2026-01-16 13:00:00+00:00,953863.9042000002,958648.6414000003,953861.3324,958500.4396
2026-01-16 14:00:00+00:00,958500.4396,965285.5696000005,958346.2540000001,965210.2010000004
2026-01-16 15:00:00+00:00,965210.1324,1023276.2157999995,965210.1324,1023276.2157999995
2026-01-16 16:00:00+00:00,1023318.2195999998,1024289.806,1015047.0512,1015075.29
2026-01-16 17:00:00+00:00,1015075.3416,1016021.6835999993,1006811.5499999999,1006811.5499999999
2026-01-16 18:00:00+00:00,1006811.55,1007111.3442,1006557.9541999999,1007071.3451999999
2026-01-16 19:00:00+00:00,1007073.4788,1010975.7843999998,1006829.3333999999,1010424.2950000016
2026-01-16 20:00:00+00:00,1010426.8926,1016337.4337999994,1010425.8744000002,1013441.8591999998
2026-01-16 21:00:00+00:00,1013540.4903999999,1014493.8938000004,1010836.5312000001,1011316.8078000005
2026-01-16 22:00:00+00:00,1011317.4772,1011678.5510000003,1009714.7168,1010239.0800000001
2026-01-16 23:00:00+00:00,1010239.1184,1012642.8976000007,1009462.8572000001,1012399.6250000005
2026-01-17 00:00:00+00:00,1012399.7188,1013041.2774,1009681.4275999999,1009697.4904000006
2026-01-17 01:00:00+00:00,1009697.7900000006,1010027.7733999997,1008912.1610000004,1008912.1718000005
2026-01-17 02:00:00+00:00,1008912.1718000005,1008962.8915999999,1007077.6426,1008267.4725999997
2026-01-17 03:00:00+00:00,1008267.4726,1008478.9394,1007202.7508,1008428.8038
2026-01-17 04:00:00+00:00,1008435.343,1008463.5338000001,1004781.6324000001,1005244.1301999998
2026-01-17 05:00:00+00:00,1005244.0892,1005474.6173999999,1005213.5741999997,1005474.6173999999
2026-01-17 06:00:00+00:00,1005474.6174,1005757.2745999998,1005473.5223999999,1005757.2745999998
2026-01-17 07:00:00+00:00,1005757.2746,1007701.8635999993,1005388.7934000001,1005925.1389999999
2026-01-17 08:00:00+00:00,1005929.2137999999,1007058.1596000001,1005878.9523999998,1007058.1596000001
2026-01-17 09:00:00+00:00,1007058.4613999999,1008240.5644000001,1006736.8532000001,1008240.5644000001
2026-01-17 10:00:00+00:00,1008240.5644,1010098.883,1008240.2906000001,1009678.8024000006
2026-01-17 11:00:00+00:00,1009678.626,1010110.4778000001,1009650.9442,1009961.3984000004
2026-01-17 12:00:00+00:00,1009957.7616,1015159.1574000004,1009957.7616,1015078.4193999999
2026-01-17 13:00:00+00:00,1015078.4193999999,1015080.9032,1014790.5269999999,1014875.8456000005
2026-01-17 14:00:00+00:00,1014875.8526000004,1017433.2662,1013645.0011999999,1017377.9395999997
